Event key,Component key,Event path,Education level,Database query type,Affected table,Since,Legacy event,Component_pt,Event name_pt,Component_it,Event name_it,Component_fr,Event name_fr,Component_de,Event name_de,Component_ca,Event name_ca,Component_en,Event name_en,Component_es,Event name_es
BADGE_ARCHIVED,SYSTEM,\core\event\badge_archived,Teaching,update,badge,3.2,,System,Medalha arquivada,System,Archiviato badge,System,Badge archivé,System,Badge archiviert,System,S'ha arxivat la insígnia,System,Badge archived,System,Insignia archivada
BADGE_AWARDED,SYSTEM,\core\event\badge_awarded,Teaching,create,badge,2.9,,System,Medalha atribuída,System,Badge rilasciati,System,Badge décerné,System,Badge verliehen,System,S'ha concedit la insígnia,System,Badge awarded,System,Insignia concedida
BADGE_CREATED,SYSTEM,\core\event\badge_created,Teaching,create,badge,3.2,,System,Medalha criada,System,Creato badge,System,Badge créé,System,Badge angelegt,System,S'ha creat la insígnia,System,Badge created,System,Insignia creada
BADGE_CRITERIA_CREATED,SYSTEM,\core\event\badge_criteria_created,Teaching,create,badge_criteria,3.2,,System,Critério da medalha criado,System,Creato criterio badge,System,Critère de badge créé,System,Kriterien für Badge angelegt,System,S'han creat els criteris de la insígnia,System,Badge criteria created,System,Criterio de insignia creado
BADGE_CRITERIA_DELETED,SYSTEM,\core\event\badge_criteria_deleted,Teaching,delete,badge_criteria,3.2,,System,Critério da medalha apagado,System,Eliminato criterio badge,System,Critère de badge supprimé,System,Kriterien für Badge gelöscht,System,S'han suprimit els criteris de la insígnia,System,Badge criteria deleted,System,Criterio de insignia eliminado
BADGE_CRITERIA_UPDATED,SYSTEM,\core\event\badge_criteria_updated,Teaching,update,badge_criteria,3.2,,System,Critério da medalha atualizado,System,Aggiornato criterio badge,System,Critère de badge modifié,System,Kriterien für Badge aktualisiert,System,S'han actualitzat els criteris de la insígnia,System,Badge criteria updated,System,Criterio de insignia actualizado
BADGE_DELETED,SYSTEM,\core\event\badge_deleted,Teaching,delete,badge,3.2,,System,Medalha apagada,System,Eliminato badge,System,Badge supprimé,System,Badge gelöscht,System,S'ha suprimit la insígnia,System,Badge deleted,System,Insignia borrada
BADGE_DISABLED,SYSTEM,\core\event\badge_disabled,Teaching,update,badge,3.2,,System,Medalha desativada,System,Disabilitato badge,System,Badge désactivé,System,Badge deaktiviert,System,S'ha inhabilitat la insígnia,System,Badge disabled,System,Insignia deshabilitada
BADGE_DUPLICATED,SYSTEM,\core\event\badge_duplicated,Teaching,create,badge,3.2,,System,Medalha duplicada,System,Duplicato badge,System,Badge dupliqué,System,Badge dupliziert,System,S'ha duplicat la insígnia,System,Badge duplicated,System,Insignia duplicada
BADGE_ENABLED,SYSTEM,\core\event\badge_enabled,Teaching,update,badge,3.2,,System,Medalha ativada,System,Abilitato badge,System,Badge activé,System,Badge aktiviert,System,S'ha habilitat la insígnia,System,Badge enabled,System,Insignia habilitada
BADGE_LISTING_VIEWED,SYSTEM,\core\event\badge_listing_viewed,Participating,read,,3.2,,System,Listagem de medalhas visualizada,System,Visualizzato elenco badge,System,Liste des badges consultée,System,Liste der Badges angezeigt,System,S'ha mostrat la llista d'insígnies,System,Badge listing viewed,System,Lista de insignias vista
BADGE_REVOKED,SYSTEM,\core\event\badge_revoked,Teaching,create,badge,3.2,,System,Medalha revogada,System,Badge revocato,System,Badge révoqué,System,Badge zurückgezogen,System,S'ha revocat la insígnia,System,Badge revoked,System,Insignia revocada
BADGE_UPDATED,SYSTEM,\core\event\badge_updated,Teaching,update,badge,3.2,,System,Medalha atualizada,System,Aggiramento badge,System,Badge modifié,System,Badge aktualisiert,System,S'ha actualitzat la insígnia,System,Badge updated,System,Insignia actualizada
BADGE_VIEWED,SYSTEM,\core\event\badge_viewed,Participating,read,,3.2,,System,Medalha visualizada,System,Visualizzato badge,System,Badge consulté,System,Badge angezeigt,System,S'ha visualitzat la insígnia,System,Badge viewed,System,Insignia vista
BLOG_ASSOCIATION_CREATED,SYSTEM,\core\event\blog_association_created,Participating,create,blog_association,2.7,,System,Associação de blogue criada,System,Creata associazione blog,System,Association de blog créée,System,Blogverknüpfung angelegt,System,S'ha creat l'associació de bitàcoles,System,Blog association created,System,Asociación a blog creada
BLOG_ASSOCIATION_DELETED,SYSTEM,\core\event\blog_association_deleted,Participating,delete,blog_association,3.2,,System,Associação de blogues eliminada,System,Eliminata associazione blog,System,Association de blog supprimée,System,Blogverbindung gelöscht,System,S'ha suprimit l'associació del blog,System,Blog association deleted,System,Asociación de blog eliminada
COMMENT_CREATED,SYSTEM,\core\event\blog_comment_created,Participating,create,comments,2.7,,System,Comentário criado,System,Creato commento,System,Commentaire créé,System,Kommentar angelegt,System,Comentari creat,System,Comment created,System,Comentario creado
COMMENT_DELETED,SYSTEM,\core\event\blog_comment_deleted,Participating,delete,comments,2.7,,System,Comentário apagado,System,Eliminato commento,System,Commentaire supprimé,System,Kommentar gelöscht,System,Comentari suprimit,System,Comment deleted,System,Comentario eliminado
BLOG_ENTRIES_VIEWED,SYSTEM,\core\event\blog_entries_viewed,Participating,read,,2.7,,System,Entradas de blogue visualizadas,System,Visualizzato intervento blog,System,Articles de blog consultés,System,Blogeinträge angezeigt,System,Entrades de bitàcola visualitzades,System,Blog entries viewed,System,Entradas de blog vistas
BLOG_ENTRY_ADDED,SYSTEM,\core\event\blog_entry_created,Participating,create,post,2.6,blog_entry_added,System,Entrada de blogue adicionada,System,Inserito intervento blog,System,Article de blog ajouté,System,Blogeintrag hinzugefügt,System,S'ha afegit l'entrada al blog,System,Blog entry added,System,Añadido entrada de blog
BLOG_ENTRY_DELETED,SYSTEM,\core\event\blog_entry_deleted,Participating,delete,post,2.6,blog_entry_deleted,System,Entrada de blogue eliminada,System,Eliminato intervento blog,System,Article de blog supprimé,System,Blogeintrag gelöscht,System,S'ha suprimida l'entrada del blog,System,Blog entry deleted,System,Eliminada entrada de blog
BLOG_ENTRY_UPDATED,SYSTEM,\core\event\blog_entry_updated,Participating,update,post,2.6,blog_entry_edited,System,A mensagem do blogue foi atualizada,System,Aggiornato intervento blog,System,Article de blog modifié,System,Beitrag aktualisiert,System,S'ha actualitzat aquesta entrada,System,Blog entry updated,System,Entrada del blog actualizada
EXTERNAL_BLOG_REGISTERED,SYSTEM,\core\event\blog_external_added,Participating,create,blog_external,3.2,,System,Blogue externo registado,System,Registrato blog esterno,System,Blog externe enregistré,System,Externer Blog verbunden,System,S'ha registrat el blog extern,System,External blog registered,System,Blog externo registrado
EXTERNAL_BLOG_UNREGISTERED,SYSTEM,\core\event\blog_external_removed,Participating,delete,blog_external,3.2,,System,Removido o registo do blogue externo,System,Rimossa registrazione blog esterno,System,Blog externe désenregistré,System,Externer Blog unverbunden,System,S'ha tret del registre el blog extern,System,External blog unregistered,System,Blog externo no registrado
EXTERNAL_BLOG_UPDATED,SYSTEM,\core\event\blog_external_updated,Participating,update,blog_external,3.2,,System,Blogue externo atualizado,System,Aggiornato blog esterno,System,Blog externe mis à jour,System,Externer Blog aktualisiert,System,S'ha actualitzat el blog extern,System,External blog updated,System,Blog externo actualizado
